retired_concept_id	active_concept_id	association
123299009	68640004	SAME_AS
123301002	2858002	SAME_AS
123302009	44001008	SAME_AS
123303004	2032001	SAME_AS
123304005	102449007	SAME_AS
123305006	39209001	SAME_AS
123306007	1260268001	REPLACED_BY
123308008	111407006	SAME_AS
123309000	111396008	SAME_AS
123312002	109982002	SAME_AS
123314001	20673009	REPLACED_BY
123315000	7248001	SAME_AS
123317008	359706003	SAME_AS
123318003	52542005	REPLACED_BY
123319006	79974007	SAME_AS
123321001	86406008	REPLACED_BY
123322008	77503002	SAME_AS
123323003	37109004	SAME_AS
123327002	27253007	SAME_AS
123328007	309155007	SAME_AS
123329004	64779008	SAME_AS
123330009	29894000	SAME_AS
123332001	111975006	SAME_AS
123333006	77867006	SAME_AS
123335004	47944004	SAME_AS
123336003	49827005	SAME_AS
123337007	12264001	SAME_AS
123348000	386692008	SAME_AS
123397009	417746004	SAME_AS
123620007	120639003	SAME_AS
12362004	65704008	SAME_AS
123631000119103	253000007	REPLACED_BY
123641000119107	1288032009	REPLACED_BY
123651000119109	1290064003	REPLACED_BY
123661000119106	254627002	REPLACED_BY
12366661000119100	22951000119104	SAME_AS
12366751000119106	551891000124105	REPLACED_BY
12366801000119100	551841000124101	REPLACED_BY
12366851000119101	551871000124109	REPLACED_BY
12366901000119105	551831000124106	REPLACED_BY
12366951000119109	551861000124102	REPLACED_BY
12367001000119106	551851000124104	REPLACED_BY
12367051000119105	551881000124107	REPLACED_BY
12367101000119105	580951000124106	REPLACED_BY
12367151000119109	580961000124108	REPLACED_BY
12367201000119101	580911000124105	REPLACED_BY
12367241000119104	580921000124102	REPLACED_BY
12367551000119100	703477003	SAME_AS
123681000119102	1290068000	REPLACED_BY
123691000119104	1288033004	REPLACED_BY
1236942004	1236943009	SAME_AS
1236965009	702392008	REPLACED_BY
1237340007	1287197000	REPLACED_BY
1237403003	31906004	REPLACED_BY
1237491009	1264495000	REPLACED_BY
123768009	767497003	REPLACED_BY
123778007	129646001	REPLACED_BY
123779004	129647005	REPLACED_BY
123780001	129648000	REPLACED_BY
123781002	129648000	REPLACED_BY
